A01: STOMATOLOGIKA; Préparations stomatologiques
D06AX07: Gentamicin; Gentamicine
D06AX09: Mupirocin; Mupirocine
D06BA01: Sulfadiazin-Silber; Sulfadiazine argentique
D06BA51: Sulfadiazin-Silber, Kombinationen; Sulfadiazine argentique en association
D06BB03: Aciclovir; Aciclovir
D06BB04: Podophyllotoxin; Podophyllotoxine
D06BB06: Penciclovir; Penciclovir
D06BB10: Imiquimod; Imiquimod
D06BB12: Sinecatechins; 
D06BX01: Metronidazol; Métronidazole
D07: CORTICOSTEROIDE, DERMATOLOGISCHE ZUBEREITUNGEN; Corticoïdes, Préparations dermatologiques
D07AA02: Hydrocortison; Hydrocortisone
D07AA03: Prednisolon; Prednisolone
D07AB01: Clobetason; Clobétasone
D07AB02: Hydrocortisonbutyrat; Hydrocortisone butyrate
D07AB03: Flumetason; Flumétasone
D07AB08: Desonid; Désonide
D07AC01: Betamethason; Bétaméthasone
D07AC04: Fluocinolonacetonid; Fluocinolone acétonide
D07AC08: Fluocinonid; Fluocinonide
D07AC13: Mometason; Mométasone
D07AC14: Methylprednisolonaceponat; Méthylprednisolone
D07AC17: Fluticason; Fluticasone
D07AC18: Prednicarbat; Prednicarbate
D07AD01: Clobetasol; Clobétasol
D07BC: Corticosteroide, stark wirksam, Kombinationen mit Antiseptika; Corticoïdes d’activité forte et antiseptiques
D07CA01: Hydrocortison und Antibiotika; Hydrocortisone et antibiotiques
D07CC01: Betamethason und Antibiotika; Bétaméthasone et antibiotiques
D07CC02: Fluocinolonacetonid und Antibiotika; Fluocinolone acétonide et antibiotiques
D07CC05: Fluocinonid und Antibiotika; Fluocinonide et antibiotiques
D07XA01: Hydrocortison; Hydrocortisone, autres associations
D07XA02: Prednisolon; Prednisolone, autres associations
D07XB01: Flumetason; Flumétasone, autres associations
D07XB02: Triamcinolon; Triamcinolone, autres associations
D07XB05: Dexamethason; Dexaméthasone, autres associations
D07XC01: Betamethason; Bétaméthasone
D07XD: Corticosteroide, sehr stark wirksam, andere Kombinationen; Corticoïdes d’activité très forte, autres associations
D08: ANTISEPTIKA UND DESINFEKTIONSMITTEL; Antiseptiques et désinfectants
D08AC02: Chlorhexidin; Chlorhexidine
D08AC05: Polihexanid; Polihexanide
D08AC52: Chlorhexidin, Kombinationen; Chlorhexidine en association
D08AE04: Triclosan; Triclosan
D08AG02: Povidon-Iod; Polyvidone iodée
D08AJ: Quartäre Ammonium-Verbindungen; Ammoniums quaternaires
D08AJ01: Benzalkonium; Benzalkonium
D08AX: Andere Antiseptika und Desinfektionsmittel; Autres antiseptiques et désinfectants
D08AX05: Isopropanol; Isopropanol
D08AX07: Natriumhypochlorit; Sodium hypochlorite
D08AX08: Ethanol; Éthanol
D08AX53: Propanol, Kombinationen; Propanol en association
D10: AKNEMITTEL; Préparations antiacnéiques
D10AB02: Schwefel; Soufre
D10AD01: Tretinoin; Trétinoïne
D10AD03: Adapalen; Adapalène
D10AD04: Isotretinoin; Isotrétinoïne
D10AD05: Motretinid; Motrétinide
D10AD53: Adapalen, Kombinationen; Adapalène en association
D10AE01: Benzoylperoxid; Benzoyle peroxyde
D10AE51: Benzoylperoxid, Kombinationen; Benzoyle peroxyde en association
D10AF01: Clindamycin; Clindamycine
D10AF02: Erythromycin; Erythromycine
D10AF51: Clindamycin, Kombinationen; Clindamycine en association
D10AX03: Azelainsäure; Acide azélaïque
D10AX30: Verschiedene Kombinationen; Associations diverses antiacnéiques
D10BA01: Isotretinoin; Isotrétinoïne
D11: ANDERE DERMATIKA; Autres Préparations dermatologiques
D11AC03: Selen-haltige Verbindungen; Dérivés du sélénium
D11AC08: Schwefel-haltige Verbindungen; Dérivés soufres
D11AF: Warzenmittel und Keratolytika; Verrucides et coricides
D11AH01: Tacrolimus; Tacrolimus
D11AH02: Pimecrolimus; Pimécrolimus
D11AH04: Alitretinoin; 
D11AX: Andere Dermatika; Autres médicaments dermatologiques
D11AX01: Minoxidil; Minoxidil à usage topique
D11AX04: Lithiumsuccinat; Lithium succinate
D11AX10: Finasterid; Finastéride
D11AX11: Hydrochinon; Hydroquinone
G: UROGENITALSYSTEM UND SEXUALHORMONE; Système génito-urinaire et hormones sexuelles
G01: GYNÄKOLOGISCHE ANTIINFEKTIVA UND ANTISEPTIKA; Anti-infectieux et antiseptiques à usage gynécologique
G01AA10: Clindamycin; Clindamycine
G01AC05: Dequalinium; Déqualinium
G01AD01: Milchsäure; Lactique acide
G01AF02: Clotrimazol; Clotrimazole
G01AF04: Miconazol; Miconazole
G01AF05: Econazol; Econazole
G01AF07: Isoconazol; Isoconazole
G01AF17: Oxiconazol; Oxiconazole
G01AX: Andere Antiinfektiva und Antiseptika; Autres anti-infectieux et antiseptiques
G01AX12: Ciclopirox; Ciclopirox
G02: ANDERE GYNÄKOLOGIKA; Autres médicaments gynécologiques
G02AB01: Methylergometrin; Méthylergométrine
G02AD02: Dinoproston; Dinoprostone
G02AD05: Sulproston; Sulprostone
G02BA03: Plastik-IUP mit Gestagen; DIU en plastique avec des progestatifs
G02BB01: Vaginalring mit Gestagenen und Estrogenen; Anneau vaginal avec progestérone et estrogène
G02CB03: Cabergolin; Cabergoline
G02CB04: Quinagolid; Quinagolide
G02CX: Andere Gynäkologika; Autres médicaments gynécologiques
G02CX01: Atosiban; Atosiban
G02CX04: Ovarialextrakt; 
G03: SEXUALHORMONE UND MODULATOREN DES GENITALSYSTEMS; Hormones sexuelles et modulateurs de la fonction génitale
G03AA: Gestagene und Estrogene, fixe Kombinationen; Estroprogestatifs en association fixe
G03AA07: Levonorgestrel und Estrogen; Lévonorgestrel et estrogène
G03AA09: Desogestrel und Estrogen; Désogestrel et estrogène
G03AA10: Gestoden und Estrogen; Gestodène et estrogène
G03AA11: Norgestimat und Estrogen; Norgestimate et estrogène
G03AA12: Drospirenon und Estrogen; Drospirénone et estrogène
G03AA13: Norelgestromin und Estrogen; Norelgestromine et estrogène
G03AA14: Nomegestrol und Estrogen; Nomégestrol et estrogène
G03AA15: Chlormadinon und Estrogen; Chlormadinone et estrogène
G03AB: Gestagene und Estrogene, Sequenzialpräparate; Estroprogestatifs pour administration séquentielle
G03AB03: Levonorgestrel und Estrogen; Lévonorgestrel et estrogène
G03AB04: Norethisteron und Estrogen; Norethistérone et estrogène
G03AB05: Desogestrel und Estrogen; Désogestrel et estrogène
G03AB06: Gestoden und Estrogen; Gestodène et estrogène
G03AC01: Norethisteron; Norethistérone
G03AC06: Medroxyprogesteron; Médroxyprogestérone
G03AC08: Etonogestrel; Étonogestrel
G03AC09: Desogestrel; Désogestrel
G03BA03: Testosteron; Testostérone
G03CA03: Estradiol; Estradiol
G03CA04: Estriol; Estriol
G03CA09: Promestrien; Promestriène
G03CC: Estrogene, Kombinationen mit anderen Mitteln; Estrogènes en association avec d’autres substances
G03CX01: Tibolon; 
G03D: GESTAGENE; Progestatifs
G03DA02: Medroxyprogesteron; Médroxyprogestérone
G03DA04: Progesteron; Progestérone
G03DB01: Dydrogesteron; Dydrogestérone
G03DC02: Norethisteron; Noréthistérone
G03EA03: Prasteron und Estrogen; Prastérone et estrogène
G03FA01: Norethisteron und Estrogen; Noréthistérone et estrogène
G03FA12: Medroxyprogesteron und Estrogen; Médroxyprogestérone et estrogène
G03FA14: Dydrogesteron und Estrogen; Dydrogestérone et estrogène
G03FA17: Drospirenon und Estrogen; Drospirénone et estrogène
G03FB01: Norgestrel und Estrogen; Norgestrel et estrogène
G03FB05: Norethisteron und Estrogen; Norethistérone et estrogène
G03FB08: Dydrogesteron und Estrogen; Dydrogestérone et estrogène
G03G: GONADOTROPINE UND ANDERE OVULATIONSAUSLÖSER; Gonadotrophines et autres stimulants de l’ovulation
G03GA01: Choriongonadotrophin; Gonadotrophine chorionique
G03GA02: Humanes menopausales Gonadotrophin; Gonadotrophine ménopausique humaine
G03GA04: Urofollitropin; Urofollitrophine
G03GA05: Follitropin alfa; Follitropine
G03GA06: Follitropin beta; Follitropine bêta
G03GA07: Lutropin alfa; Lutropine alfa
G03GA08: Choriongonadotropin alfa; Choriogonadotropine alfa
G03GB02: Clomifen; Clomifène
G03HA01: Cyproteron; Cyprotérone
G03HB01: Cyproteron und Estrogen; Cyprotérone et estrogène
G03XB01: Mifepriston; Mifépristone
G03XC01: Raloxifen; Raloxifène
G03XC02: Bazedoxifen; Bazédoxifène
G04: UROLOGIKA; Médicaments urologiques
G04BC: Harnkonkrement lösende Mittel; Solubilisants des calculs urinaires
G04BD02: Flavoxat; Flavoxate
G04BD04: Oxybutynin; Oxybutynine
G04BD07: Tolterodin; Toltérodine
G04BD08: Solifenacin; Solifénacine
G04BD09: Trospium; Trospium
G04BD10: Darifenacin; Darifénacine
G04BD11: Fesoterodin; Fésotérodine
G04BE01: Alprostadil; Alprostadil
G04BE03: Sildenafil; Sildénafil
G04BE08: Tadalafil; Tadalafil
G04BE09: Vardenafil; Vardénafil
G04CA01: Alfuzosin; Alfuzosine
G04CA02: Tamsulosin; Tamsulosine
G04CA03: Terazosin; Térazosine
G04CA52: Tamsulosin und Dutasterid; Tamsulosine et dutastéride
G04CB01: Finasterid; Finastéride
G04CB02: Dutasterid; Dutastéride
H: SYSTEMISCHE HORMONPRÄPARATE, EXKL. SEXUALHORMONE UND INSULINE; Hormones systémiques, hormones sexuelles exclues
H01: HYPOPHYSEN- UND HYPOTHALAMUSHORMONE UND ANALOGA; Hormones hypophysaires, hypothalamiques, hormones de l’ante hypophyse, analogues
H01AA02: Tetracosactid; Tétracosactide
H01AB01: Thyrotropin; Thyrotrophine
H01AC01: Somatropin; Somatropine
H01AX01: Pegvisomant; Pegvisomant
H01BA02: Desmopressin; Desmopressine
H01BA04: Terlipressin; Terlipressine
H01BB02: Oxytocin; Oxytocine
H01BB03: Carbetocin; Carbétocine
H01CA01: Gonadorelin; Gonadoréline
H01CA02: Nafarelin; Nafaréline
H01CA03: Histrelin; Histréline
H01CB01: Somatostatin; Somatostatine
H01CB02: Octreotid; Ocréotide
H01CB03: Lanreotid; Lanréotide
H01CB05: Pasireotid; Pasiréotide
H01CC01: Ganirelix; Ganirélix
H01CC02: Cetrorelix; Cétrorélix
H02: CORTICOSTEROIDE ZUR SYSTEMISCHEN ANWENDUNG; Corticoïdes à usage systémique
H02AA02: Fludrocortison; Fludrocortisone
H02AB01: Betamethason; Bétaméthasone
H02AB02: Dexamethason; Dexaméthasone
H02AB04: Methylprednisolon; Méthylprednisolone
H02AB06: Prednisolon; Prednisolone
H02AB07: Prednison; Prednisone
H02AB08: Triamcinolon; Triamcinolone
H02AB09: Hydrocortison; Hydrocortisone
H02AB13: Deflazacort; Déflazacort
H02BX01: Methylprednisolon, Kombinationen; Méthylprednisolone en association
H03: SCHILDDRÜSENTHERAPIE; Médicaments de la thyroïde
H03AA01: Levothyroxin-Natrium; Lévothyroxine
H03AA03: Kombinationen von Levothyroxin und Liothyronin; Associations de lévothyroxine et liothyronine
H03BA02: Propylthiouracil; Propylthiouracile
H03BB01: Carbimazol; Carbimazole
H04: PANKREASHORMONE; Hormones pancréatiques
H04AA01: Glucagon; Glucagon
H05: CALCIUMHOMÖOSTASE; Médicaments de l’équilibre calcique
H05AA02: Teriparatid; Tériparatide
H05BA01: Calcitonin (Lachs, synthetisch); Calcitonine (synthétique de saumon)
H05BX01: Cinacalcet; Cinacalcet
H05BX02: Paricalcitol; 
J: ANTIINFEKTIVA ZUR SYSTEMISCHEN ANWENDUNG; Anti-infectieux généraux à usage systémique
J01: ANTIBIOTIKA ZUR SYSTEMISCHEN ANWENDUNG; Antibactériens à usage systémique
J01AA02: Doxycyclin; Doxycycline
J01AA04: Lymecyclin; Limécycline
J01AA08: Minocyclin; Minocycline
J01AA12: Tigecyclin; Tigécycline
J01CA04: Amoxicillin; Amoxicilline
J01CE01: Benzylpenicillin; Benzylpénicilline
J01CE02: Phenoxymethylpenicillin; Pénicilline V (phénoxyméthylpénicilline)
J01CF05: Flucloxacillin; Flucloxacilline
J01CR02: Amoxicillin und Enzym-Inhibitoren; Amoxicilline et acide clavulanique
J01CR05: Piperacillin und Enzym-Inhibitoren; Pipéracilline et inhibiteur d’enzyme
J01DB04: Cefazolin; Céfazoline
J01DC02: Cefuroxim; Céfuroxime
J01DC04: Cefaclor; Céfaclor
J01DD02: Ceftazidim; Ceftazidime
J01DD04: Ceftriaxon; Ceftriaxone
J01DD08: Cefixim; Céfixime
J01DD13: Cefpodoxim; Cefpodoxime
J01DE01: Cefepim; Céfépime
J01DF01: Aztreonam; Aztréonam
J01DH02: Meropenem; Méropénème
J01DH04: Doripenem; Doripénème
J01DH51: Imipenem und Enzym-Inhibitoren; Imipénème et inhibiteur d’enzyme
J01EE01: Sulfamethoxazol und Trimethoprim; Sulfaméthoxazole et triméthoprime
J01FA01: Erythromycin; Erythromycine
J01FA09: Clarithromycin; Clarithromycine
J01FA10: Azithromycin; Azithromycine
J01FF01: Clindamycin; Clindamycine
J01GB01: Tobramycin; Tobramycine
J01GB03: Gentamicin; Gentamicine
J01GB06: Amikacin; Amikacine
J01MA01: Ofloxacin; Ofloxacine
J01MA02: Ciprofloxacin; Ciprofloxacine
J01MA06: Norfloxacin; Norfloxacine
J01MA12: Levofloxacin; Lévofloxacine
J01MA14: Moxifloxacin; Moxifloxacine
J01XA01: Vancomycin; Vancomycine
J01XA02: Teicoplanin; Téicoplanine
J01XB01: Colistin; Colistine
J01XC01: Fusidinsäure; Acide fusidique
J01XD01: Metronidazol; Métronidazole
J01XE01: Nitrofurantoin; Nitrofurantoïne
J01XX01: Fosfomycin; Fosfomycine
J01XX08: Linezolid; Linézolide
J01XX09: Daptomycin; Daptomycine
J02: ANTIMYKOTIKA ZUR SYSTEMISCHEN ANWENDUNG; Antimycosiques à usage systémique
J02AA01: Amphotericin B; Amphotéricine B
J02AC01: Fluconazol; Fluconazole
J02AC02: Itraconazol; Itraconazole
J02AC03: Voriconazol; Voriconazole
J02AC04: Posaconazol; Posaconazole
J02AX01: Flucytosin; Flucytosine
J02AX04: Caspofungin; Caspofungine
J02AX05: Micafungin; Micafongine
J02AX06: Anidulafungin; Anidulafungine
J04: MITTEL GEGEN MYKOBAKTERIEN; Antimycobactériens
J04AB02: Rifampicin; Rifampicine
J04AB04: Rifabutin; Rifabutine
J04AC01: Isoniazid; Isoniazide
J04AK01: Pyrazinamid; Pyrazinamide
J04AK02: Ethambutol; Ethambutol
J04AM02: Rifampicin und Isoniazid; Rifampicine en association
J04AM05: Rifampicin, Pyrazinamid und Isoniazid; Rifampicine, pyrazinamide et isoniazide
J05: ANTIVIRALE MITTEL ZUR SYSTEMISCHEN ANWENDUNG; Antiviraux à usage systémique
J05A: DIREKT WIRKENDE ANTIVIRALE MITTEL; Antiviraux à action directe
J05AB01: Aciclovir; Aciclovir
J05AB04: Ribavirin; Ribavirine
J05AB06: Ganciclovir; Ganciclovir
J05AB09: Famciclovir; Famciclovir
J05AB11: Valaciclovir; Valaciclovir
J05AB12: Cidofovir; Cidofovir
J05AB14: Valganciclovir; Valganciclovir
J05AD01: Foscarnet; Foscarnet
J05AE01: Saquinavir; Saquinavir
J05AE03: Ritonavir; Ritonavir
J05AE04: Nelfinavir; Nelfinavir
J05AE09: Tipranavir; Tipranavir
J05AE11: Telaprevir; Télaprévir
J05AE12: Boceprevir; Bocéprévir
J05AF02: Didanosin; Didanosine
J05AF04: Stavudin; Stavudine
J05AF05: Lamivudin; Lamivudine
J05AF06: Abacavir; Abacavir
J05AF07: Tenofovir disoproxil; Ténofovir
J05AF08: Adefovir dipivoxil; Adéfovir
J05AF09: Emtricitabin; Emtricitabine
J05AF10: Entecavir; Entécavir
J05AF11: Telbivudin; Telbivudine
J05AG01: Nevirapin; Névirapine
J05AG03: Efavirenz; Efavirenz
J05AG04: Etravirin; Étravirine
J05AG05: Rilpivirin; Rilpivirine
J05AH01: Zanamivir; Zanamivir
J05AH02: Oseltamivir; Oseltamivir
J05AR01: Zidovudin und Lamivudin; Zidovudine et lamivudine
J05AR02: Lamivudin und Abacavir; Lamivudine et abacavir
J05AR03: Tenofovir disoproxil und Emtricitabin; Ténofovir, disoproxil et emtricitabine
J05AR04: Zidovudin, Lamivudin und Abacavir; Zidovudine, lamivudine et abacavir
J05AR06: Emtricitabin, Tenofovir disoproxil und Efavirenz; Emtricitabine, ténofovir et efavirenz
J05AR08: Emtricitabin, Tenofovir disoproxil und Rilpivirin; Emcitrabine, ténofovir et rilpivirine
J05AX07: Enfuvirtid; Enfuvirtide
J05AX08: Raltegravir; Raltégravir
J05AX09: Maraviroc; Maraviroc
J06: IMMUNSERA UND IMMUNGLOBULINE; Immunsérums et immunoglobulines
J06AA: Immunsera; Immunsérums
J06BA01: Immunglobuline, normal human, zur extravasalen Anwendung; Immunoglobulines humaines normales [extravasculaires]
J06BA02: Immunglobuline, normal human, zur intravasalen Anwendung; Immunoglobulines humaines normales [intravasculaires]
J06BB01: Anti-D(rh)-Immunglobulin; Immunoglobuline anti-D (RH)
J06BB02: Tetanus-Immunglobulin; Immunoglobuline antitétanique
J06BB03: Varicella/Zoster-Immunglobulin; Immunoglobuline antivaricelle-zona
J06BB04: Hepatitis-B-Immunglobulin; Immunoglobuline anti-hépatite B
J06BB05: Tollwut-Immunglobulin; Immunoglobuline antirabique
J06BB09: Cytomegalievirus-Immunglobulin; Immunoglobuline anticytomégalovirus
J06BB16: Palivizumab; Palivizumab
J07: IMPFSTOFFE; Vaccins
J07AE01: Cholera, inaktiviert, ganze Zelle; Vibrion cholérique inactivé entier
J07AG01: Haemophilus influenzae B, gereinigtes Antigen konjugiert; Haemophilus influenzae B, antigène purifié conjugué
J07AH: Meningokokken-Impfstoffe; Vaccins antiméningococciques
J07AH04: Meningokokken tetravalent (A, C, Y, W-135), gereinigtes Polysaccharid-Antigen; Méningocoques, antigènes polysaccharidiques tétravalents
J07AH07: Meningokokken C, gereinigtes Polysaccharid-Antigen, konjugiert; Méningocoque type C, antigènes polysaccharidiques purifiés
J07AH08: Meningokokken tetravalent (A, C, Y, W-135), gereinigtes Polysaccharid-Antigen, konjugiert; Méningocoque types A, C, W135 et Y, antigènes polysaccharadiques polyvalents
J07AJ52: Pertussis, gereinigtes Antigen, Kombinationen mit Toxoiden; Coqueluche, antigène purifié en association avec des anatoxines
J07AL01: Pneumokokken, gereinigtes Polysaccharid-Antigen; Pneumococcus, antigènes polysaccharidiques purifiés
J07AL02: Pneumokokken, gereinigtes Polysaccharid-Antigen, konjugiert; Pneumococcus, antigènes polysaccharidiques purifiés conjugués
J07AM01: Tetanus-Toxoid; Anatoxine tétanique
J07AM51: Tetanus-Toxoid, Kombinationen mit Diphtherie-Toxoid; Anatoxine tétanique en association avec anatoxine diphtérique
J07AP01: Typhus, oral, lebend abgeschwächt; Typhoïde, bactérie vivante attenuée orale
J07AX: Andere bakterielle Impfstoffe; Autres vaccins bactériens
J07BA01: FSME, inaktiviert, ganzes Virus; Encéphalite transmise par les tiques, virus entier inactivé
J07BA02: Encephalitis, japanische, inaktiviert, ganzes Virus; Encéphalite japonaise, virus entier inactivé
J07BB02: Influenza, inaktiviert, Spaltvirus oder Oberflächenantigen; Grippe, antigène purifé
J07BC01: Hepatitis B, gereinigtes Antigen; Vaccins contre l’hépatite B
J07BC02: Hepatitis A, inaktiviert, ganzes Virus; Vaccins contre l’hépatite A
J07BC20: Kombinationen; Associations de vaccins contre l’hépatite
J07BD01: Masern, lebend abgeschwächt; Rougeole, virus vivant attenué
J07BD52: Masern, Kombinationen mit Mumps und Röteln, lebend abgeschwächt; Rougeole en association aux oreillons et à la rubéole, virus vivants atténués
J07BD54: Masern, Kombinationen mit Mumps, Röteln und Varicella, lebend abgeschwächt; Rougeole en association à oreillons, varicelle, rubéole, virus vivants atténués
J07BF03: Poliomyelitis, trivalent, inaktiviert, ganzes Virus; Poliomyélite, virus entier trivalent inactivé
J07BG01: Tollwut, inaktiviert, ganzes Virus; Rage, virus entier inactivé
J07BH01: Rotavirus, lebend abgeschwächt; Rotavirus vivant atténué
J07BK: Varicella Zoster Impfstoffe; Vaccins contre la varicelle
J07BK01: Varicella, lebend abgeschwächt; Varicelle, virus vivant atténué
J07BK02: Zoster Virus, lebend abgeschwächt; 
J07BL01: Gelbfieber, lebend abgeschwächt; Fièvre jaune, virus vivant atténué
J07BM01: Humaner Papillomvirus-Impfstoff (Typen 6,11,16,18); Papillomavirus (types humains 6, 11, 16, 18)
J07BM02: Humaner Papillomvirus-Impfstoff (Typen 16,18); Papillomavirus (types humains 16, 18)
J07BX: Andere virale Impfstoffe; Autres vaccins viraux
J07CA01: Diphtherie-Poliomyelitis-Tetanus; Diphtérie - poliomyélite - tétanos
J07CA02: Diphtherie-Pertussis-Poliomyelitis-Tetanus; Diphtérie - coqueluche - poliomyélite - tétanos
J07CA06: Diphtherie-Haemophilus-influenzae B-Pertussis-Poliomyelitis-Tetanus; Diphtérie - hémophilus influenzae B - coqueluche - poliomyélite - tétanos
L: ANTINEOPLASTISCHE UND IMMUNMODULIERENDE MITTEL; Antinéoplasiques et immunomodulateurs
L01: ANTINEOPLASTISCHE MITTEL; Antinéoplasiques
L01AA01: Cyclophosphamid; Cyclophosphamide
L01AA02: Chlorambucil; Chlorambucil
L01AA03: Melphalan; Melphalan
L01AA06: Ifosfamid; Ifosfamide
L01AA09: Bendamustin; Bendamustine
L01AB01: Busulfan; Busulfan
L01AX03: Temozolomid; Témozolomide
L01AX04: Dacarbazin; Dacarbazine
L01BA01: Methotrexat; Méthotrexate
L01BA03: Raltitrexed; Raltitrexed
L01BA04: Pemetrexed; Pemetrexed
L01BB02: Mercaptopurin; Mercaptopurine
L01BB03: Tioguanin; Thioguanine
L01BB04: Cladribin; Cladribine
L01BB05: Fludarabin; Fludarabine
L01BB07: Nelarabin; Nélarabine
L01BC: Pyrimidin-Analoga; Analogues de la pyrimidine
L01BC01: Cytarabin; Cytarabine
L01BC02: Fluorouracil; Fluorouracile
L01BC05: Gemcitabin; Gemcitabine
L01BC06: Capecitabin; Capécitabine
L01CA01: Vinblastin; Vinblastine
L01CA02: Vincristin; Vincristine
L01CA03: Vindesin; Vindésine
L01CA04: Vinorelbin; Vinorelbine
L01CB01: Etoposid; Étoposide
L01CD01: Paclitaxel; Paclitaxel
L01CD02: Docetaxel; Docétaxel
L01CX01: Trabectedin; Trabectédine
L01DA01: Dactinomycin; Dactinomycine
L01DB01: Doxorubicin; Doxorubicine
L01DB03: Epirubicin; Epirubicine
L01DB06: Idarubicin; Idarubicine
L01DB07: Mitoxantron; Mitoxantrone
L01DC01: Bleomycin; Bléomycine
L01DC04: Ixabepilon; Ixabépilone
L01XA01: Cisplatin; Cisplatine
L01XA02: Carboplatin; Carboplatine
L01XA03: Oxaliplatin; Oxaliplatine
L01XB01: Procarbazin; Procarbazine
L01XC02: Rituximab; Rituximab
L01XC03: Trastuzumab; Trastuzumab
L01XC06: Cetuximab; Cétuximab
L01XC07: Bevacizumab; Bévacizumab
L01XC08: Panitumumab; Panitumumab
L01XC10: Ofatumumab; Ofatumumab
L01XC11: Ipilimumab; Ipilimumab
L01XD03: Methylaminolevulinat; Méthyl aminolévulinate
L01XD04: Aminolevulinsäure; Acide 5-aminolévulinique
L01XE01: Imatinib; Imatinib
L01XE03: Erlotinib; Erlotinib
L01XE04: Sunitinib; Sunitinib
L01XE05: Sorafenib; Sorafénib
L01XE06: Dasatinib; Dasatinib
L01XE07: Lapatinib; Lapatinib
L01XE08: Nilotinib; Nilotinib
L01XE09: Temsirolimus; Temsirolimus
L01XE10: Everolimus; Evérolimus
L01XE11: Pazopanib; Pazopanib
L01XE12: Vandetanib; Vandétanib
L01XE15: Vemurafenib; Vémurafénib
L01XE16: Crizotinib; Crizotinib
L01XE17: Axitinib; Axitinib
L01XE18: Ruxolitinib; Ruxolitinib
L01XX01: Amsacrin; Amsacrine
L01XX05: Hydroxycarbamid; Hydroxycarbamide
L01XX11: Estramustin; Estramustine
L01XX14: Tretinoin; Trétinoïne
L01XX17: Topotecan; Topotécan
L01XX19: Irinotecan; Irinotécan
L01XX23: Mitotan; Mitotane
L01XX32: Bortezomib; Bortézomib
L01XX35: Anagrelid; Anagrélide
L01XX41: Eribulin; Eribuline
L02: ENDOKRINE THERAPIE; Thérapeutique endocrine
L02AA02: Polyestradiolphosphat; Polyestradiol phosphate
L02AB02: Medroxyprogesteron; Médroxyprogestérone
L02AE02: Leuprorelin; Leuproréline
L02AE03: Goserelin; Goséréline
L02AE04: Triptorelin; Triptoréline
L02BA01: Tamoxifen; Tamoxifène
L02BA03: Fulvestrant; Fulvestrant
L02BB03: Bicalutamid; Bicalutamide
L02BG03: Anastrozol; Anastrozole
L02BG04: Letrozol; Létrozole
L02BG06: Exemestan; Exémestane
L02BX02: Degarelix; Dégarelix
L02BX03: Abirateron; Abiratérone
L03: IMMUNSTIMULANZIEN; Immunostimulants
L03AA02: Filgrastim; Filgrastim
L03AA10: Lenograstim; Lénograstim
L03AA13: Pegfilgrastim; Pegfilgrastim
L03AB03: Interferon gamma; Interféron gamma
L03AB04: Interferon alfa-2a; Interféron alfa-2a
L03AB05: Interferon alfa-2b; Interféron alfa-2b
L03AB07: Interferon beta-1a; Interféron bêta-1a
L03AB08: Interferon beta-1b; Interféron bêta-1b
L03AB10: Peginterferon alfa-2b; Peginterféron alfa-2b
L03AB11: Peginterferon alfa-2a; Peginterféron alfa-2a
L03AC01: Aldesleukin; Aldesleukine
L03AX03: BCG-Impfstoff; Vaccin BCG
L03AX13: Glatirameracetat; Glatiramère acétate
L03AX15: Mifamurtid; Mifamurtide
L04: IMMUNSUPPRESSIVA; Immunosuppresseurs
L04AA04: Antithymozytäres Immunglobulin (Kaninchen); Immunoglobuline antithymocyte
L04AA06: Mycophenolsäure; Mycophénolate
L04AA10: Sirolimus; Sirolimus
L04AA13: Leflunomid; Léflunomide
L04AA18: Everolimus; Evérolimus
L04AA23: Natalizumab; Natalizumab
L04AA24: Abatacept; Abatacept
L04AA25: Eculizumab; Eculizumab
L04AA26: Belimumab; Bélimumab
L04AA27: Fingolimod; Fingolimod
L04AA28: Belatacept; Bélatacept
L04AB01: Etanercept; Étanercept
L04AB04: Adalimumab; Adalimumab
L04AB05: Certolizumab pegol; Certolizumab pégol
L04AB06: Golimumab; Golimumab
L04AC05: Ustekinumab; Ustékinumab
L04AC07: Tocilizumab; Tocilizumab
L04AC08: Canakinumab; Canakinumab
L04AD01: Ciclosporin; Ciclosporine
L04AD02: Tacrolimus; Tacrolimus
L04AX01: Azathioprin; Azathioprine
L04AX04: Lenalidomid; Lénalidomide
M: MUSKEL- UND SKELETTSYSTEM; Muscle et squelette
M01: ANTIPHLOGISTIKA UND ANTIRHEUMATIKA; Anti-inflammatoires et antirhumatismaux
M01AB01: Indometacin; Indométacine
M01AB05: Diclofenac; Diclofénac
M01AB08: Etodolac; Étodolac
M01AB11: Acemetacin; Acémétacine
M01AB15: Ketorolac; Kétorolac
M01AB55: Diclofenac, Kombinationen; Diclofénac en association
M01AC01: Piroxicam; Piroxicam
M01AC02: Tenoxicam; Ténoxicam
M01AC05: Lornoxicam; Lornoxicam
M01AC06: Meloxicam; Méloxicam
M01AE01: Ibuprofen; Ibuprofène
M01AE02: Naproxen; Naproxène
M01AE09: Flurbiprofen; Flurbiprofène
M01AE14: Dexibuprofen; Dexibuprofène
M01AE17: Dexketoprofen; Dexkétoprofène
M01AG01: Mefenaminsäure; Méfénamique acide
M01AH01: Celecoxib; Célécoxib
M01AH05: Etoricoxib; Etoricoxib
M01AX01: Nabumeton; Nabumétone
M01AX17: Nimesulid; Nimésulide
M01AX25: Chondroitinsulfat; Chondroïtine sulfate
M01CB01: Natrium aurothiomalat; Aurothiomalate sodique
